date,Open,High,Low,Close,Volume,MarketCap
2016-08-05,578.28,578.28,569.98,575.04,66127900,9083715053
2016-08-06,575.03,588.4,569.47,587.78,80797296,9286055404
2016-08-07,587.77,597.51,586.82,592.69,82398400,9364710627
2016-08-08,592.74,592.99,588.05,591.05,61194100,9339910963
2016-08-09,591.04,591.09,584.79,587.8,92228096,9289374235
2016-08-10,587.65,599.98,586.37,592.1,102905000,9358441335
2016-08-11,592.12,597.54,589.12,589.12,74514400,9312340020
2016-08-12,588.8,589.91,583.81,587.56,69218000,9288722581
2016-08-13,587.36,589.77,584.98,585.59,43563000,9258715472
2016-08-14,585.59,585.67,564.78,570.47,60851100,9020848475
2016-08-15,570.49,573.58,563.24,567.24,57262300,8970719083
2016-08-16,567.24,581.74,566.72,577.44,58405200,9132941526
2016-08-17,577.76,580.89,571.43,573.22,54443000,9066995409
2016-08-18,573.71,577.79,573.43,574.32,59896600,9085487925
2016-08-19,574.34,578.24,574.18,575.63,50631600,9107313927
2016-08-20,576.08,582.82,575.46,581.7,45301400,9204384754
2016-08-21,581.94,584.16,580.22,581.31,38299400,9199366517
2016-08-22,581.31,588.45,580.59,586.75,72844000,9286647694
2016-08-23,586.77,589.47,581.63,583.41,85349200,9234845697
2016-08-24,583.41,583.59,579.85,580.18,56328200,9184728961
2016-08-25,580.18,580.45,575.17,577.76,136130000,9147297036
2016-08-26,577.75,580.62,576.86,579.65,48856800,9178145243
2016-08-27,579.45,579.84,568.63,569.95,59698300,9025464112
2016-08-28,569.83,574.04,569.74,573.91,86301600,9089312935
2016-08-29,574.07,576.28,573.47,574.11,110398000,9093420855
2016-08-30,574.11,578.36,574.11,577.5,70342400,9148340524
2016-08-31,577.59,577.86,573.64,575.47,75840896,9117106217
2016-09-01,575.55,576.31,571.81,572.3,76923400,9067854884
2016-09-02,572.41,575.64,570.81,575.54,79910800,9120159589
2016-09-03,575.55,599.5,574.06,598.21,159014000,9480380026
2016-09-04,598.59,611.84,596.85,608.63,97942896,9646846465
2016-09-05,608.99,609.05,602.24,606.59,82446800,9615468145
2016-09-06,606.51,610.83,605.09,610.44,78529104,9677437248
2016-09-07,610.57,614.54,608.51,614.54,75032400,9743676240
2016-09-08,614.64,628.77,613.84,626.32,86713000,9931412644
2016-09-09,626.35,626.83,620.26,622.86,64550200,9877681032
2016-09-10,622.93,625.09,622.4,623.51,45016800,9889124590
2016-09-11,623.42,628.82,600.51,606.72,73610800,9624021892
2016-09-12,607.01,608.46,605.41,608.24,72812304,9649385919
2016-09-13,608.03,611.19,606.92,609.24,86920600,9666424848
2016-09-14,608.84,611.95,608.41,610.68,47877700,9690463177
2016-09-15,610.59,611.09,607.16,607.16,59464600,9635571708
2016-09-16,607.25,609.26,606.73,606.97,64963400,9633710359
2016-09-17,607.22,607.86,605.19,605.98,37140300,9619198525
2016-09-18,606.28,610.16,605.86,609.87,48679400,9682008337
2016-09-19,609.87,610.93,608.27,609.23,54796400,9672709264
2016-09-20,609.25,609.53,607.94,608.31,72710896,9659269452
2016-09-21,603.59,603.59,595.88,597.15,82776200,9483211005
2016-09-22,597.28,598.49,596.21,596.3,67085300,9470698215
2016-09-23,596.2,603.21,595.79,602.84,51067000,9575631549
2016-09-24,602.96,604.58,602.04,602.63,35359500,9573385118
2016-09-25,602.75,603.38,599.71,600.83,33977800,9546132575
2016-09-26,600.81,608.14,600.35,608.04,59153800,9661922446
2016-09-27,608.02,608.25,604.11,606.17,49422400,9633311305
2016-09-28,606.24,606.59,604.61,604.73,48722600,9611532319
2016-09-29,605.02,606.82,604.85,605.69,55658600,9627902106
2016-09-30,605.72,609.73,604.14,609.73,56122400,9693198750
2016-10-01,609.93,615.24,609.93,613.98,56357000,9761887632
2016-10-02,613.95,614.01,609.68,610.89,39249800,9713776587
2016-10-03,610.97,612.57,610.46,612.13,46798300,9734618878
