DATETIME,blob_sent,Open,High,Low,Close,Volume,,,,
2019-05-29 18:55,-0.375,8718.59,8755.85,8482.73,8659.49,23473479966,,,,
2019-05-29 21:35,0,8718.59,8755.85,8482.73,8659.49,23473479966,,,,
2019-05-29 23:06,0,8718.59,8755.85,8482.73,8659.49,23473479966,,,,
2019-05-30 2:18,0.475,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 3:59,0,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 4:37,0,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 4:37,0,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 4:37,0,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 5:17,-0.8,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 5:28,0.15,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 5:28,0.15,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 5:28,0.15,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 5:28,0.15,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 5:28,0.15,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 5:37,0,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 5:37,0,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 8:21,0,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 8:32,0.208333333,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 8:32,0.208333333,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 8:45,0,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 8:45,0,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 11:52,0,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 14:37,-0.4,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-30 20:11,0.8,8661.76,9008.31,8221.27,8319.47,29246528551,,,,
2019-05-31 0:50,0.025,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 0:50,0.025,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 1:20,0,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 2:10,-0.5,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 12:47,0.136363636,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 12:47,0.136363636,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 13:37,0.125,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 13:37,0.125,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 13:55,-0.001666667,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 13:55,-0.001666667,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 14:23,0,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 15:44,0.05,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 16:03,0,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 18:11,0,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 18:11,0,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 20:09,-0.05,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 20:09,-0.05,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 20:11,0,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 21:46,0,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-05-31 21:46,0,8320.29,8586.66,8172.55,8574.5,25365190957,,,,
2019-06-01 2:46,0.525,8573.84,8625.6,8481.58,8564.02,22488303544,,,,
